date,closing_price,volume
2023-01-01,150.5,1200000.0
2023-01-02,152.3,1500000.0
2023-01-03,151.9,1400000.0
2023-01-04,,1300000.0
2023-01-05,153.2,
2023-01-06,155.0,1800000.0
2023-01-07,154.5,1700000.0
2023-01-08,156.8,2100000.0
2023-01-09,157.2,2200000.0
2023-01-10,155.5,1900000.0
2023-01-11,158.0,2500000.0
2023-01-12,159.1,2600000.0
2023-01-13,161.5,3000000.0
2023-01-14,160.9,2800000.0
2023-01-15,159.8,2700000.0
2023-01-16,,3200000.0
2023-01-17,163.4,3500000.0
2023-01-18,185.0,4500000.0
2023-01-19,164.0,3800000.0
2023-01-20,165.2,3900000.0
